phrase,class
ما خفي اعظم أنا ممن عاصر تلك الأيام و كنا نعلم بالمملكة بهذه المؤامرة القذرة من  تنظيم الحمدين التي أراد منها إرهاب القطريين بعد إنقلابه,1
ما خفي اعظم أنا ممن عاصر تلك الأيام و كنا نعلم بالمملكة بهذه المؤامرة القذرة من  تنظيم الحمدين التي أراد منها إرهاب القطريين بعد إنقلابه,1
التطبيع الاسراييلي القطري1١  لأجدد من دوليه تشرى وتباع من داخل الكنيست الاسرائليه وحكامها رعاه ارهاب لابد من القضاء على المرتزقه,1
تفجير ذخائر في محيط بلدتي شمع ورميش,0
المهم ان الحيوان بشار الأسد ذبّح شعبه. من 2011 وقبل حتى ما يكون فيه داعش وجماعات إرهابية.,1
المهم ان الحيوان بشار الأسد ذبّح شعبه. من 2011 وقبل حتى ما يكون فيه داعش وجماعات إرهابية,-1
تنظيم داعش ذبح امريكي وبريطاني وفرنسي أمام الكمرات وهو يعرف ان خمسة آلاف طائرة ستكون فوق رأسه,-1
معلومات موثوقه : بأن ميليشيا الحوثي تعتزم في الايام القادمة القيام بعمليات تفجيرات وزرع عبوات ناسفة وتصوير مقاطع ذبح في محاف,-1
لما المانى يقتل سورى تبقى حادث طعن لكن لو سورى قتل المانى يبقى عملية ارهابية,1
ارهابيين سعوديين على قائمة المطلوبين يدخلون للسعودية بجوازات قطرية وينفذون عملية ارهابية في مسجد,1
ولان الذى نفذ عملية الدهس الاخيرة فى المانيا ليس بمسلم بل هو من اليمين الصليبى المتطرف فهى ليست عملية إرهابية,1
الخارجية اللبنانية: إسرائيل قائمة على العنف,1
اموت على العنف انا,1
مبحبش العنف وبكره الصوت العالي وعمري ما استعملت الاسلوب ده لاني بحس انه بيقلل من اداميتي ويصعب عليا اوي في اي خناقه بين اثنين,0
"فتور العلاقة بين الآباء والأبناء قد يؤدي إلى ظهور بعض السلوكيات السلبية مثل العنف أو التمرد، وقد يؤثّر سلباً على مستوى التحصيل",0
الشخص العبثي المزاج النرجسي الطبع حتما سيكون عنيفا,1
كلام غبي وصعب تفهم الاخت ان التعدي والعنف داخل المنزل يرعب الضحية لان هذا مكانه الوحيد يا يتحمله فيه يا ينرمي بالدار,1
قليل من العنف لا يضر,-1
تعيش المرأة الفلسطينية في مدينة القدس المحتلة ظروف إنسانية صعبة نتيجة ارتفاع وتيرة الانتهاكات الإسرائيلية بحقها,0
لم نرى المرأة في الغرب التي لا ولاية عليها ألا بائسة بين العنف والاغتصاب والتحرش والحاجة ليست عندهم ألا جسد,-1
ما ادري كيف المفروض معلم يتعامل مع أطفال الابتدائي ؟ و الا لازم العنف عشان يثبت انه يدرس صح ... تخلف,1
ممارسة العنف والتعذيب على (25) سيدة من مدينة العريش بعد اعتقالهم أول أمس,1
عمر العنف والخبط ماولد الا العنف والحقد,0
منظمة حقوقية: الأسد يستخدم العنف الجنسي أداة للانتقام من المعارضة,-1
العنف النفسي أشد خطراً على المرأة من العنف الجسدي,0
بالنسبة للغرب او حتى غيرهم الكحولية تسبب العنف الأسري,0
العنف ضد المرأة مشكلة... والمشكلة الأكبر هو السكوت عنه وعدم منعه,0
اللهم ياذاالجلال والإكرام احفظ إخوتنا المسلمين في سيريلانكا من حقد الوثنين الحاقدين,1
الله يكسر يده الى متى هذا العنف من اغلب المدرسين ومنسوبي التعليم والضحية الطالب الله يأخذ حقه عاجلا,1
دول الخليج صايرين يتانفسون مين يعذب ويقهر نسائهم اكثر,1
العنف التربوي في الاسرة هو من اشكال العنف الأكثر شيوعا الذي يتعرض له الاطفال,0
من المرجح ان يشارك سلاح الجو السعودي في ضرب النظام السوري عقابا له على استخدام الكيماوي لقتل الأطفال والمدنيين الابرياء,0
المعلومة تنشر حلقات مأساة فتاة ايزيدية اختطفها داعش واغتصبها ابو بكر البغدادي,0
مادام حزب الدعوة الحاكم فأعلموا المتاجرة بدماء الشيعة مستمرة وماستبعد المصالحة مع ابو بكر البغدادي,1
اعطوني جريمة واحدة ارتكبها ابو بكر البغدادي وجماعته داعش ولم يكررها بعده الخائن المعتوه عبملك الحوثي وجماعته الحوثة,1
اعطوني جريمة واحدة ارتكبها ابو بكر البغدادي وجماعته داعش ولم يكررها بعده الخائن المعتوه عبملك الحوثي وجماعته الحوثة,1
خطبة أمير المؤمنين أبو بكر البغدادي خطبة لا يجرؤ على قولها طواغيت الخليج ولو اجتمعوا,1
"رؤوس الإرهاب في المنطقة هم: بشار الكيماوي، أبو بكر البغدادي، أبو محمد الجولاني، حسن نصر الله، قاسم سليماني",1
ابو بكر البغدادي ماذا فعلت لهم كي يخافوك. مثل خوف الكفار من خالد ابن الوليد و الحاجب المنصور,0
سرطان داعش امتد من العراق والشام ليدمر حياة اسر في ليبيا تكريت,0
ماتفعله داعش في ليبيا يصب في مصلحة حفتر ويصب في مصلحة اروبا,0
بو فيصل انتم تدعموا الإرهاب فى ليبيا وسوريا ومصر وفى كل الدول العربية لم ياتي داعش لكم,1
قطر وقفت مع داعش في سوريا ضد بشار لسقاط نظامه,1
قطر وفقت مع الارهابيين في سينا ضد مصر لسقاط مبارك,1
أصبح إظهار الاشمئزاز من أساليب داعش ملجأ لكل نذل,1
"اقترح على بلدية أبها تغيير اسم الشارع الذي احتضن حادثة تعنيف المرأة بـ  ""شارع الجبناء "" كناية بأهل الحي",1
صديقتي للاسف انضربت ضرب عنيف من اخوها الصغير لانها تدربت على السواقه في جامعة نورة,0
"فيه معنفات وباستمرار والتعنيف مو بالضرورة ضرب واعتداء، يمكن يكون سب و شتم",0
حق المراه العصا,1
اذا ضرب الزوج امرأة فقد رجولته وانسانيته واحترامه واذا استمرت المرأة معه بعد الضرب فقدت احترامها وكرامتها وانسانيتها,0
"ضربُ النِّساء فعلٌ قبيح، لا يُقدم عليه إلَّا منزوع الدين",1
"ضربُ النِّساء فعلٌ قبيح،  معدوم التربية",1
"ضربُ النِّساء فعلٌ قبيح، وهو ساقطٌ من أعداد الرجال بل هو أقرب للحيوان منهُ",-1
ن نوم عميق إلى رصاص الدواعش: هكذا يهجم داعش على الأبرياء في العراق الوثبة ولاية كركوك,0
اعتقال قيادي داعشي توماس بارنوان: المعروف بأبو محمد في صفوف داعش ومسؤول الفريق الفرنسي في ديوان الاعلام الداعشي,0
مركز الجنوب لرعايه المعوقين تهديد 72 نزيلة بالطرد من مركز لرعاية المعاقات في أبها,0
لا تقلقلي يا عزيزتي سانتقم لكي من اولئك الاوغاد الذين اذوكي,1
لا تقلقلي يا عزيزتي سانتقم لكي من اولئك الاوغاد الذين اذوكي,1
تبًّا لك!,1
سأنتقم منك حتى وإن عاد عليّ انتقامي بالضرر,1
صبرًا ستدفع ثمن ابتسامتك البلهاء,1
انا لن اسامح انا لن اصالح انا سانتقم حين تسنح الفرصة,1
انا كالشيطان الاخرس لاتظن ان صمتي يستبيح لك الكلام من خلفي لانني سانتقم بطريقتي الخاصه ولو مر على هذا الفعل اعوام,1
نعم هناك حيث اخي بين تلك الجثت سأنتقم منكم شر انتقام,1
فعلا لو تسنح لي الفرصة أنتقم سأنتقم وبأبشع صورة ممكن تشوفها و تتخيلها خصوصا إذا كان الشخص وجوده مصدر إزعاج بحياتي وتأذيت منه,1
سأقتلك إن عرفت أنثى غيري,1
سأقتلك وأعزف على جسدك احتسي دمائك وأستمع بمقطوعة ألمك الصاخبة,-1
سأقتلك واقتل بنتك,-1
سأقتلكَ ... ومن ثم سأعانقكَ فأنتَ بعد الموت أكثر وفاءً,-1
سأقتلك أمام أعين ذويك كما قتلتني أمام أعين أبنائي,-1
سأدفع ديتك من غبار الأحذية أيها الظالم أسأل الله باسمه الأعظم أن ينتقم منك و من ذويك,1
لعن الله ابوك ياديوث ماكنت اظن بأنك بهذا الحقد والخبث والحقاره,1
اذا في ارهابي بالعالم بيكون انتم ياكفرة من تقاتلون بي عقيدت ولاية السفيه في العراق,1
اللصوص الكبار صنعوا اثار تشابه اثار بابل وجعلوا داعش تدكها وتم تصويرهم ليضحكوا على العالم على انه اثار العراق تم تدميرها,0
امير خراسان: جرائم داعش خراسان لا تختلف عن جرائم داعش الام في العراق و الشام,1
النووي في العراق وبعد كده الكيماوي في سوريا لان سوريا لازم تخرب خالص طبقا للمخطط الصهيوامريكى,1
العراق : مقتل 4 مدنيين وإصابة 4 آخرين في هجوم لداعش بمحافظة صلاح الدين,0
سأضربك بشدة لدرجة أن أحفادك سيخرجون من بطون أمهاتهم وهم يتألمون,-1
عبود والله سأضربك بقوة قبل نهاية اليوم انتظر قليلاً,1
لما اسيء لاي شخص لاتدخل وتدافع لاني ساضربك,1
هل تريد ان تتهاوش؟ سأضربك مع السكين,-1
سنقتلكم جزمة تلوى الاخرى,-1
لا تتعبون أنفسكم بالخلافات يا عملاء إيران لأننا سنقتلكم كلكم وتذهبون إلى مزبلة التاريخ,-1
يا بني يهود سنقتّلكم و نشتت ابنائكم و نجوّع نسائكم و نفتك اراضينا المنهوبة,-1
يا بني يهود سنقتّلكم و نشتت ابنائكم و نجوّع نسائكم و نفتك اراضينا المنهوبة,-1
اقتلوا دمرو كل شئ وفى النهاية مصيركم جهنم وقبل جهنم سنقتلكم بلا رحمة,-1
لا يوجد قانون يحمي الضعيف فغزة تُقصف وللكيان الصهيوني كامل الصلاحية في ذلك أن تقتل ما تشاء و صاروخ واحد من غزة,0
لاتوجد مؤامرة على مصر غير المؤامرة على الاخوان والرئيس مرسى ولايوجد ارهاب غير للوصل او التمكين الى عرش مصر,0
اصمت يا حمار يا عبيد,1
والسودان وسينا ضاعوا في عهد مين يا حمار,1
والضرب المباح لا يعتبر ضرب أصلا من خفّته,1
نت حمار فعلاً هذا جنوبي يا ملعون الوالدين انتم ورعان ليسى رجال دولة انتم الحوج لازم تعرف,-1
حقول ايه بهائم و عمر اللي زيك ما حيتغير يا شوية زكايب شوال ليس الا حتى الرد مش عارف,1
والله انك كذاب والرئيس الامريكي ما قالها يا حمار اصلا لو كلامك صحيح بالعكس بيحت,1
انا اقصد القصر وإليخت والصوره يا بهيمه,1
"المغرب يستاهل وبعدو تونس،خازوق ،يا جاهل يا حقير متونس نرتبة 14 والمغرب مرتبة 42 يا نذل",1
الملك لما طلب من الأسد يستقيل كان الجحش بشار وشبيحته قاتل آلاف من السوريين وفلتت الأمور والبلاد معاه,1
"يا كلب، ايران شو عملت بالاكراد لما فكرو يتحررون من رجسكم",1
خسئتي وخسئت يامنتحل يا حمار ابن ست وستين حماره,1
أكثر ما يساهم في انحراف الأبناء سوء استخدام الألفاظ عشرة سلوكيات تدمر شخصية ونفسية الطفل الشتم بوصف الطفل بأوصاف حيونية,0
صح نسيت اقول اننا بندعسك معه يا حمار الحمدين وباقي الشله الصقعاء,1
يا مجوسي يا رافضي يا نجس يا كلب,1
لقد مارس صالح إرهاب الدولة على شعبة بمساعدة أشباه الرجال من مافيا المصالح وكنت وأمريكا له داعمين. لن ننسى,1
ولكن اسمح لي فارهاب الحكومات الدول اكثر وحشية واكثر ايلام للمجتمعات الانسانية فاين العطية من ارهاب الدولة النازية,1
صحونجي تعلم الغيب وما تخفي الصدور  ياجاهل كل الأحاديث تم توليفها بعهد الدوله الأمويه والدوله العباسيه سيا,1
امريكا عدوة الشعوب عايشه على سفك الدماء وبيع الاسلحه لاتحتاج فتوى لتدمير سوريا وغيرها  دوله تمارس ارهاب الدوله,-1
الدولة الإرهابية معروف منبعها واكثر الدول اللي تصدر ارهاب بتحصل بالصدارة العراق,1
"إن إسرائيل تمارس إرهاب الدولة، وهي دولة إرهاب. لذا سنواصل الوقوف إلى جانب أشقائنا الفلسطينيين بكل حزم.",1
انه إرهاب الدولة المنظم المدعوم امريكيا,1
أقسى وأمر ارهاب الذي تمارسه اسرائيل ضد الفلسطنيين بِمَا يعرف بإرهاب الدولة,1
ما عندك يارافضي يابن المتعه لا شرف لا دين لا حياء . كفر و فجور وحرب للاسلام,1
اصل مفيش في الفروض حريه يا ايمان يا كفر يا كدا يا كدا مفيش وسطيه والاختيار بيبقي للشخص فعلا,0
شاهد الإرهابي أنيس نقاش أحد شبيحة النصيري الإرهابي  بشار الجحش وعميل  النظام القطري الصهيوني و المقرب جداً من  عاق الوالدين,1
شاهد الإرهابي أنيس نقاش أحد شبيحة النصيري الإرهابي  بشار الجحش وعميل  النظام القطري الصهيوني و المقرب جداً من  عاق الوالدين,1
الادله ثابته من كان السبب الا وهو بشار الله يلعنه لعنة بحجم الكون كامل,1
كل من يؤيد الارهابي السفّاح بشار الخنزير و حسن نصر الشيطان ربيب إرهابيي رقم ا,-1
كل من يؤيد الارهابي السفّاح بشار الخنزير و حسن نصر الشيطان ربيب إرهابيي رقم ا,-1
الليلة منتخب شبيحة النظام السوري الارهابي الزائل بدون يواجهوا ارز لبنان المنتخب اللبناني بالتوفيق لمنتخبنا ويلعن روحك,1
الله يلعنك شو نجس شو ابن زنا شو وسخ,-1
الله يحرقك و يحرق ولادك و تشوفون مقطعين متل ما بشار و حزب الله,-1
كل دول العالم عما تغير رائيها من الشيطان الرجيم بشار بس ماشفنا ولا دولة غيرت رائيها من الشعب المظلوم,-1
تهديدات الحيوان بشار فارغة,1
الثوار بسهول حوران يسطرون اروع ملاحم البطوله بتصديهم للغازين الارهابين عبدة الطاغوت الحيوان بشار وخنازير طهران,-1
انت كلبة خنزيرة ارهابية بنت كلب هاجري الله لا يردك,-1
نت كلبة خنزيرة ارهابية بنت كلب هاجري الله لا يردك,1
سنا يا كلبة يا حيوانة الله ياخدك وامثالك البهائم وياخذ نظام الحيوان الكيماوي,-1
برنامج تااااافه وزاد تفاهة باستضافة بعض شبيحة بشار الارهابي,1
يوجد في الساحات الخلفية للسجون مقابرجماعية عصابة الشر والإرهاب الحقيقي بشار ابوالبراميل الإرهابي,1
إعادة فتح الطريق البري بين لبنان و  الخليج يعني ضرائب عبور نقل  يستفيد منها نظام المجرم بشار الأسد تصريف منتجات الكثير,1
النظام السوري و روسيا الصليبية يقصفان درعا بذريعة وجود داعش و لا يقصفان داعش في حوض اليرموك,0
من الافضل أن نترك سوريا وشأنها المليشيات الايرانيه ستطرد ولن يكون لها مكان في الوطن السوري,0
جزء بسيط من خساسة  النظام القطري الصهيوني الراعي والحاضن للإرهابيين و المرتزقة و لقطيع تنظيم الاخوان المفسدين,-1
الصهيوني  حمد بن خليفة هو وراء محاولة اغتيال  الملك عبدالله من التخطيط حتى التنفيذ,1
هكذا دمر  النظام القطري الصهيوني دولة  ليبيا وشرد شعبها بدعم من  تنظيم الحمدين للميليشيات الإرهابية التابعة لتنظيم  الإخوان,1
غزة السفير القطري محمد العمادي يقول ان هناك محادثات بين حماس والكيان الصهيوني للوصول الى تفاهمات تخص غزّة,1
شاهد الإرهابي أنيس نقاش أحد شبيحة النصيري الإرهابي بشار الجحش وعميل  النظام القطري الصهيوني و المقرب جداً من عاق الوالدين,1
شاهد الإرهابي أنيس نقاش أحد شبيحة النصيري الإرهابي بشار الجحش وعميل  النظام القطري الصهيوني و المقرب جداً من عاق الوالدين,1
شاهد عالم الذرة المخ القطرائيل الكبير هو يتفقد احد مشاريع  النظام القطري الصهيوني,1
مسكين طمطم يتحكم فيه عزمي الصهيوني ومرتزقة قناة الخنزيره والشعب القطري لاحول له ولاقوة الخنافس القطريه,1
مسكين طمطم يتحكم فيه عزمي الصهيوني ومرتزقة قناة الخنزيره والشعب القطري لاحول له ولاقوة الخنافس القطريه,1
"لايوجد اي خلاف بين اليمنيين،يوجد مشروعان تدميريان بدعم صهيوني عربي",1
علاقة  النظام القطري الصهيوني بالكيان الصهيوني تخطت مرحلة التطبيع او بناء المستوطنات للإسرائيليين,1
الى متى والكويت تحلم وتتجاوز وتتعاطف مع المساد الصهيوني القطري السياسه القطرائيليه مثل الزمبرك ان تدوس عليه,1
ليبي اخونجي باع اهله وشرفه وكرامته  للاخونجيه  ونظام القطري الصهيوني واردوغان الارهابي,1
وقناة الجزيرة السافلة داعمة الربيع الصهيوني ووزير الخارجية القطري السابق اللي بدأ  بالتخريب والتدمير,1
وكل هذا لدعم الارهاب فقط لان هذا ما قاله الصهيوني حمد بن خليفة للسفير الروسي,1
الصهيوني شيمون دافيد يتجول بحرية فوق الأراضي القطرية ويلتقط صورًا لقاعدة اميركية ثم تعود قطر وتحرض,1
عزيزي القطري الايراني التركي الصهيوني المستحمر في جزيرة  شرق سلوى شغل المحاكم,1
أحاول أن أفهم كيف يتخذ المسؤول القطري قراراته السيادية ويصون كرامته الوطنية وخاصة بالتعامل مع قيادات اللوبي اليهودي الصهيوني,1
هؤلاء السفهاء باعوا ضمائرهم و أوطانهم بسبب حفنة من المال القطري خدمة للكيان الصهيوني وتمزيق الشعوب العربية وزرع الفتن,1
انت ليس بشقيق انت ارهابي صهيوني خائن عميل كذاب ارحل يا سيسي,1
انت ليس بشقيق انت ارهابي صهيوني خائن عميل كذاب ارحل يا سيسي,1
شاهد الإرهابي  أنيس نقاش أحد شبيحة النصيري الإرهابي بشار الجحش وعميل صهاينة قطر و المقرب من خائن الأمة عاق الوالدين الصهيون,1
ياسيد كل العرب يشاركون في ذبح الشعب السوري,1
المصريون يعشقون آل البيت  ذبح منهم صلاح الدين لعنة الله عليه اكثر من 90 الفا من الفاطميين شيعة مصر,1
المصريون يعشقون آل البيت  ذبح منهم صلاح الدين لعنة الله عليه اكثر من 90 الفا من الفاطميين شيعة مصر,1
غفران يقول معظم الدواعش الذين رغبوا بالانشقاق عن داعش علقوا بين الخوف من ذبح داعش لهم والخوف من قساوة سجن بلدانهم,0
نريد حمله لطرد الاسرالين هذا الجنس البشع يومياً جرائم ذبح وقتل,1
نريد حمله لطرد الاسرالين هذا الجنس البشع يومياً جرائم ذبح وقتل,1
ديماً نغمتكم المعتاده يالذباب  تبغونا يصير فينا زي سوريا  من ذبح شعبها مو حاكمها بشار النعجه,1
معقوله ذبح النساء والاطفال صار عادي لانهم مسلمين اباده جماعيه من الكلب الروسي والايراني حزب الشيطان اين حكام,1
معقوله ذبح النساء والاطفال صار عادي لانهم مسلمين اباده جماعيه من الكلب الروسي والايراني حزب الشيطان اين حكام,1
السعوديه والامارات فديتهم ياجطري يا ارهابي,1
لو كان سمعك دلوقتى كان قالك بتقطع برزق مصر يا ارهابى ياوغد يا زعيم اهل الشر,1
لعنه الله عشكلك يا ارهابي يا نجس شكلك مقرف وحقير,1
لعنه الله عشكلك يا ارهابي يا نجس شكلك مقرف وحقير,1
طب انت مش مصر يا ابن الوسخة يالاجي مالك ومال مصر واللي فيها,1
والله دعسوا عليك نشاما الأردن فقعوا وجهك يا ارهابي,1
ارحل ياسيسي الدكتور يا ارهابى يا عميل,1
مَنْ يقاوم الظلم في فلسطين إرهابي,0
مَنْ يحمل حجراً إرهابي,0
مَنْ يُطلق بالوناً إرهابي,0
مَنْ يجلس على مقاعد الدراسة إرهابي,0
الشعب المغربي قلبه مع قطر يا إرهابي العرعور الوهابي الإرهابي,1
والله دعسوا عليك نشاما الأردن فقعوا وجهك يا ارهابي,1
يافيخو يا مخنث شوفت الطالب السعودى عندما رفض الوقوف جمب صهيونى نجس إرهابى يحتل ويقتل أخوانه,1
يافيخو يا مخنث شوفت الطالب السعودى عندما رفض الوقوف جمب صهيونى نجس إرهابى يحتل ويقتل أخوانه,1
انت مين ياخنزير البنا اللي تقول لرئيس مصر ارحل يا رعاع البشريه يا ارهابي,1
يا حيوان السيسي ديكتاتور طاغية ارهابي سفاح خائن قتل شعبه وكذلك جيش مصر ميليشيوي ارهابي خائن لشعبه,-1
يا حيوان السيسي ديكتاتور طاغية ارهابي سفاح خائن قتل شعبه وكذلك جيش مصر ميليشيوي ارهابي خائن لشعبه,1
خلك مسلم صح وتعال طبق علي حد الردة يا ارهابي مو افضل كذا,-1
يا بشار يا عميل يا مجرم ارهابي,1
نهايتك قريبه يا ابن الكلب لعنك الله انت وكل ارهابي خائن لوطنه وداعم للارهاب,-1
انت اكبر ذنب لأمريكا وإسرائيل وكلبهم العقور يا إرهابي,1
تفو عليك من وين يجي الخير وانت عايش جعلك الموت يا ارهابي ويعيش العالم بسلام,1
تفو عليك من وين يجي الخير وانت عايش جعلك الموت يا ارهابي ويعيش العالم بسلام,1
ربك يمهل ولا يهمل إردوغان الإرهابي تاجر بارواح ودماء السوريين وشرد الكورد من ديارهم وأراضيهم وعائلا,1
المؤسس واحد لثلاثة تنظيمات: تنظيم الإخوان الإرهابي نظام الملالي  إسرائيل الصهاينة هو اردوغان,1
الدولار بخمس ليرات تركية انهيار الليرة التركية هذي نهاية دعم اردوغان لتنظيم الحمدين الإرهابي,1
تبرعوا لتركيا ياعصابه دوله التنظيم الارهابي في جزيره شرق سلوى تبرعوا بصفقات وهميه لاردوغان,1
العقوبات الأمريكية و الفساد في تركيا و الديون الخيالية التي أستدانها الإرهابي أردوغان و غير المليارات لبناء قصوره الخرافية,1
"الإثنين، 30 تموز، 2018. نحن نرفض أي تعامل مباشر بين ممثلي الدولة اللبنانية ونظام السفاح السوري",-1
نظام بشارالرهابي النعجة فعل اسوأ مما فعلته داعش بالآف المرات,1
نظام بشارالرهابي النعجة فعل اسوأ مما فعلته داعش بالآف المرات,1
النظام السوري الإرهابي نقل ٢٠٠٠ داعشي إرهابي من اليرموك إلى شرق,1
اكيد مذبحه وهذا ماقام  به النظام السوري الارهابي بدعمه وارسالة الدواعش لقتل الناس,-1
رحم الله شهداء السويداء مماً اغتالتهم يد الغدر والعدان من النظام السوري الإرهابي,1
هجمات  النظام السوري الارهابي المجرم,1
و أنت شو علاقتك باليهود ؟؟ إنت صهيوني مغتصب آت من كيان محتل,-1
سفير كندا الإرهابي برا برا غير مرغوب فيك يا إرهابي,1
حسن نصر اللات إرهابي حاقد و عميل خائن   قتل السوريين و اللبنانيين و اليمنيين خدمة للأسد و خامنئي بلا رحمة,-1
الله يلعنكم يا كفار,1
الله يلعنكم يا كفار,1
الله يبعتلك مرض ولا حكيم يعرفلو دوا يا سلمان الخنزير وياكلك الدود انت وطيب بحسنة اطفال اليمن والشهدا,1
ربنا ينتقم منكن شر انتقام الله يلعن معاويه تبعكن يا كفار,1
ربنا ينتقم منكن شر انتقام الله يلعن معاويه تبعكن يا كفار,1
الى هاته الدرجة وصلنا يا كفار يا كلاب يا علمانيين,1
الى هاته الدرجة وصلنا يا كفار يا كلاب يا علمانيين,1
يا الله أجعلهم رماد لاتوقف نرانك اشتعلوا يا كفار الله حقق لنا ما عجزنا عليه الحمد الله,1
"سيدك عميل وحارس لحدود صهيون وبشهادة اسياده الصهاينة واعترافهم يا حمار،،!!!",1
"سيدك عميل وحارس لحدود صهيون وبشهادة اسياده الصهاينة واعترافهم يا حمار،،!!!",1
بني صهيون ينتظرون مذعورين خطاب السيد حسن نصر الله,1
الذكرى 12 لحرب تموز ذكرى انتصار مجموعة صادقة على كيان سرطاني لقيط,1
الذكرى 12 لحرب تموز ذكرى انتصار مجموعة صادقة على كيان سرطاني لقيط,1
هذا ما يغيظ الكفار والمشركين وازلامهم من عرب وفرس وبني صهيون,1
هكذا يعيش المغتصبين الصهاينة,1
40 عام بباستيلات اجرام عصابات الارهاب كيان صهيون,1
دواعش وأخواتها وتحت كل المسميات وكلاء كيان صهيون وأدواته,1
كيان صهيون الارهابي الاجرامي والمتغول بالتوحش مستمر ببلطجته واجرامه بحق فتيات فلسطين وسط صمت عالمي وعربي مخيف,-1
اجرام رعاع حثالات الخلق من كيان صهيون الارهابي راس حربة وذراع الامبريالية العالمية,-1
وزير في كيان صهيون الغاصب وهو يرفض مصافحة امراه,-1
هل هناك علاقة ما بين الغاء ترمب المعاهدة النووية الامريكية الايرانية وضرب كيان صهيون بشار وايران في سوريا,1
كيان صهيون سيبقى عدو مدى الحياة,1
لكي ينعموا بنعمات بلدهم وارضهم المحتله والمغتصبه من بني صهيون وليس لاسرائيل لدينا كيان او وجود ليتك تفهم ي بن السامري,1
افتحوا الحدود وادخلوا اخواننا السورين الهاربين من جحيم الطاغية الكلب بشار الارهابي,-1
افتحوا الحدود وادخلوا اخواننا السورين الهاربين من جحيم الطاغية الكلب بشار الارهابي,1
لا تكونوا شركاء للكلب بشار,1
والد عهد التميمي الذي يساند بشار الأرهابي الطائفي القاتل للعرب السُنة ومتعاطف مع ايران القاتلة للعرب السُنة بالملايين,1
مساندين بشار الإرهابي وسيسي السفاح و حفتر المجرم الكلهم ضد قرار إقالة لطفي براهم و الفاهم يفهم,1
شاهد وكحل عينك عصابة الشر والإرهاب بشار الإرهابي.,1
‏لم يستمر نظام بشار الإرهابي بالحكم لقوته وشعبيته ورغم وحشيته بتدمير بلده وإنما بحقارة وندالة المجتمع,1
‏هناك اشاعات كثيرة يصدرها نظام بشار الارهابي عن عفو و تحركات الروس المبالغ فيها,1
انا ضد بشار الإرهابي,1
نظام بشار الأرهابي يقصف الغوطة الشرقية,1
العالم يحبس أنفاسه بإنتظار ساعة الصفر الامريكية لضربات الجوية ضد بشار الإرهابي قاتل الأطفال والنساء,-1
الحيوان الأسد خلصت أيامك يا بشار الأسد الخنزير ولعنة الله عليك وعلى كل مؤيديك,-1
انا اكثر الرؤساء حثولاً على الأوسمة انتخبوا بشار الارهابي,1
لأ عرف اللبنانيين حقيقة نظام الجحش الإرهابي بشار والذي يؤيدة زبالة الضاحية العاهرة,1
لأ عرف اللبنانيين حقيقة نظام الجحش الإرهابي بشار والذي يؤيدة زبالة الضاحية العاهرة,1
حجيج بيت الله الحرام السوريين الاحرار دعائهم اللهم مزق السفاح الارهابي بشار الاسد,1
رجعوا وقت الثورة يقتلونا مشان عيون بشار الفارسي الإرهابي الوسخ الجبان,1
